% Distances between instruments for pitch 26 (D1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
34,'Organ',5,0.06472495429456934,0.08090030651294954,0.028014836519705776,0.19489536661779372,0.02629519757384406,0.02414463522758584,0.023712406158151955,0.022157890472631957,0.037618468412186135,0.021351704170775216,0.020497567019181612,0.02594653908120521,0.02430494376103329,0.055810972951710724,0.011573624349186453,0.021903768712599896,0.10888065062346892,0.13512520290074245,0.014834593069787167,0.004083265488912893,0.0,0.016119542973210662,0.023242750293790446,0.019072363095602007,0.0297316109716049,0.02285840880096518,0.028066869773105494,0.019108893682151476,0.01832074170917858,0.012308058193477722,0.0182829001512329,0.02789484769704904,0.032667339303305336,0.03191734439170249
34,'Organ',6,0.04860541132135868,0.06478076353973887,0.011895293546495109,0.204885788612842,0.042318740740694326,0.0401951675226268,0.039698002575337794,0.03817869536336222,0.04649757402419007,0.037257863452661896,0.028740857712360623,0.036013596164587124,0.04027730940351886,0.0658443961180376,0.008757613311897915,0.011965212873924068,0.11895656868568712,0.14520144958122125,0.0012849499034234956,0.02016197934495069,0.016119542973210662,0.0,0.01325032920045454,0.00937769957773695,0.019655364291126153,0.012834862141683272,0.021171554958436745,0.030129531049390767,0.028379524627448267,0.02339663710266739,0.0021633571780222344,0.022506223321857075,0.0188302282769607,0.04190035297072267
36,'Piano',6,0.05859206860867716,0.07476742082705735,0.021881950833813585,0.21805229222615372,0.03233208345337585,0.030208510235308322,0.029715733739862995,0.028192038076043747,0.059747903224644607,0.02735503175248626,0.01881990089760607,0.04918009977789881,0.030308271342744334,0.0790108997313493,0.02192411692520961,0.0035537794507363094,0.1321230722989988,0.15836795319453292,0.013090358051326953,0.02555880852193015,0.023242750293790446,0.01325032920045454,0.0,0.004170387198188439,0.016415886470225696,0.015523316697469517,0.01118489767111827,0.020142873762072286,0.04154602824075997,0.035548682785428186,0.01339633277676451,0.03567272693516877,0.0319967318902724,0.055066856584034374
36,'Piano',7,0.05798311089909563,0.07415846311747583,0.02127299312423206,0.21393968909434727,0.03300900035026935,0.030858438004011137,0.030426208934577245,0.02887169324905725,0.0556790335115889,0.028065506947200516,0.019530376092320324,0.04500971257971039,0.031018746537458588,0.07485529542826432,0.017758486031730466,0.0028909564864947044,0.12795268510081037,0.15419756599634446,0.009019152061161178,0.02140120982186616,0.019072363095602007,0.00937769957773695,0.004170387198188439,0.0,0.015806928760644167,0.014914358987887991,0.011817977379900937,0.020757464692303138,0.03737564104257153,0.03137829558723975,0.011541056755759185,0.031558868495093505,0.0278794616937123,0.050961666868256074
36,'Piano',8,0.05068314265822707,0.06770407071278832,0.027032733561331446,0.22454115290396814,0.04874796992360154,0.04662439670553401,0.04612723175824501,0.04460792454626944,0.06609588764659845,0.043652238201149,0.03517008689526784,0.05566896045571327,0.04670653858642607,0.08549976040916374,0.028412977603024064,0.012915972274149465,0.13861193297681326,0.16485681387234738,0.019579218729141406,0.032047669199744604,0.0297316109716049,0.019655364291126153,0.016415886470225696,0.015806928760644167,0.0,0.006873202170639719,0.027600784141343964,0.03655876023229798,0.048034888918574416,0.04203754346324264,0.01974431719871834,0.04216158761298322,0.03848559256808685,0.06155571726184883
36,'Piano',9,0.04391969117750197,0.06094061923206321,0.020269282080606348,0.21766795073332842,0.04785540015084536,0.04573182693277783,0.04523466198548883,0.043715354773513265,0.05933243616587334,0.04284722288400977,0.03431209202912958,0.048795758285073564,0.04581396881366989,0.07862655823852403,0.021539775432384348,0.012023402501393285,0.13173873080617357,0.15798361170170766,0.012706016558501688,0.02569863875510173,0.02285840880096518,0.012834862141683272,0.015523316697469517,0.014914358987887991,0.006873202170639719,0.0,0.02670821436858779,0.0356661904595418,0.0411616867479347,0.03516434129260292,0.012980865717993242,0.03528838544234351,0.03161239039744713,0.054682515091209104
36,'Piano',10,0.06977696627979542,0.08595231849817563,0.033066848504931856,0.22291007377264963,0.021191022970368414,0.0190404606241102,0.01860823155467631,0.017053715869156317,0.06464941818989124,0.01624752956729958,0.00771239871241939,0.054004219257213874,0.01920076915755765,0.08383501921066434,0.026748236404524662,0.014684811867194501,0.13694719177831385,0.16319207267384797,0.01988660505501325,0.0303829280012452,0.028066869773105494,0.021171554958436745,0.01118489767111827,0.011817977379900937,0.027600784141343964,0.02670821436858779,0.0,0.008957976090954016,0.04637014772007502,0.040372802264743234,0.02333491213645898,0.04052925317339585,0.03771935128853142,0.059932051546558424
36,'Piano',11,0.07873494237074945,0.09491029458912964,0.04202482459588588,0.21397058646024744,0.012251535657966212,0.010100973311707994,0.009668744242274107,0.008114228556754113,0.055709930877489044,0.007308042254897374,0.001388673337030138,0.04504624316625985,0.010261281845155448,0.07488619279416446,0.025584489341306593,0.023642787958148517,0.12798921568735985,0.15423409658289397,0.028844581145967264,0.021432107187766298,0.019108893682151476,0.030129531049390767,0.020142873762072286,0.020757464692303138,0.03655876023229798,0.0356661904595418,0.008957976090954016,0.0,0.037412171629121,0.03141482617378922,0.032292888227413,0.04190483577322914,0.046677327379485434,0.05099256423415622
45,'Trombone',1,0.0683475327535742,0.08452288497195441,0.031637414978710636,0.18533030533310765,0.025222961937817437,0.027346535155884966,0.02784370010317397,0.029363007315149542,0.04124104687119099,0.030318693660269975,0.03880084496615114,0.013964386916565449,0.027264393274992905,0.037490231242532146,0.01962191131555036,0.040207046659569416,0.11123512140595894,0.13530952498215987,0.028455670189433017,0.01598721971882982,0.01832074170917858,0.028379524627448267,0.04154602824075997,0.03737564104257153,0.048034888918574416,0.0411616867479347,0.04637014772007502,0.037412171629121,0.0,0.006012683515700858,0.028612460940809593,0.0315174261560539,0.0362899177623102,0.031076976458609712
45,'Trombone',3,0.07200204842402608,0.08817740064240627,0.03529193064916251,0.18898482100355954,0.019225616482485657,0.021349189700553186,0.02184635464784219,0.023365661859817758,0.04489556254164286,0.024321348204938194,0.03280349951081935,0.0176106284219051,0.021267047819661124,0.043502914758233,0.018850718478643187,0.034209701204237636,0.11487429901604174,0.13894870259224265,0.022458324734101236,0.009989874263498037,0.012308058193477722,0.02339663710266739,0.035548682785428186,0.03137829558723975,0.04203754346324264,0.03516434129260292,0.040372802264743234,0.03141482617378922,0.006012683515700858,0.0,0.02555999428068963,0.03517194182650577,0.03994443343276207,0.034731492129061584
